,item_description,price,date_listed,description_upper,matched_description,score
0,"36"" Thermador gas cooktop",$250,Mar 21,    THERMADOR GAS COOKTOP, GAS APPLIANCE    ,86
1,Standing fan,$20,Mar 21,STANDING FAN, BOX FAN    ,86
2,Samsung Gas Dryer,$200,Mar 22,SAMSUNG GAS DRYER, FUTON DRYER    ,86
4,Talking Microwave - Hamilton Beach 0.9 cu ft - Stainless,$50,Apr  5,TALKING MICROWAVE   HAMILTON BEACH     CU FT   STAINLESS, MICROWAVE OVEN    ,86
5,Mr Coffee COFFEE MAKER,$30,Apr  5,MR COFFEE COFFEE MAKER, COFFEE GRINDER    ,86
6,Like New Whirlpool Stainless Refrigerator,$499,Apr  9,LIKE NEW WHIRLPOOL STAINLESS REFRIGERATOR, REFRIGERATOR     ,90
9,25' Walk in Cooler 9 Doors,$4000,Mar 12,    WALK IN COOLER   DOORS, COOLER     ,90
10,Viking Refrigerator/Freezer 42inch,$2995,Mar 14,VIKING REFRIGERATOR FREEZER   INCH, FREEZER     ,90
12,Sub Zero 424 Wine Cooler.,$1995,Mar 14,SUB ZERO     WINE COOLER , COOLER     ,90
14,"Whirlpool refrigerator, cooktop and dishwasher",$350,Mar  4,WHIRLPOOL REFRIGERATOR  COOKTOP AND DISHWASHER, DISHWASHER     ,90
15,"Instant pot duo nova 7, ninja blender, kitchen set, doll house...",$0,Mar  8,INSTANT POT DUO NOVA    NINJA BLENDER  KITCHEN SET  DOLL HOUSE   , KARAOKE SET    ,86
17,"Wolf 36""  Vent-hood 900 cfm",$900,Apr  7,WOLF      VENT HOOD     CFM, EXHAUST HOOD    ,86
18,GREAT DEAL: Vinotemp Dual Zone Wine Cooler 140 Bottles VT-140TS Black,$799,Mar 17,GREAT DEAL  VINOTEMP DUAL ZONE WINE COOLER     BOTTLES VT    TS BLACK, EVAPORATIVE COOLER    ,86
20,Commercial Deep Fryer,$400,Apr 10,COMMERCIAL DEEP FRYER, DEEP FRYER    ,90
21,BLACK+DECKER Electric Garden Cultivator,$55,Apr 12,BLACK DECKER ELECTRIC GARDEN CULTIVATOR, ELECTRIC COOKER    ,86
22,[Black & Decker] Toaster-Oven,$35,Apr 13, BLACK   DECKER  TOASTER OVEN, OVEN     ,90
25,"Keurig K-Cafe Special Edition Coffee Maker, Single Serve K-Cup",$160,Mar 13,KEURIG K CAFE SPECIAL EDITION COFFEE MAKER  SINGLE SERVE K CUP, COFFEE GRINDER    ,86
26,TFAL DEEP FRYER,$50,Apr 10,TFAL DEEP FRYER, DEEP FRYER    ,90
28,Sub Zero 424  Wine Cooler warranty,$1995,Mar 14,SUB ZERO      WINE COOLER WARRANTY, COOLER     ,90
29,Sub Zero 424  Wine Cooler warranty,$1995,Mar 14,SUB ZERO      WINE COOLER WARRANTY, COOLER     ,90
30,SubZero 430 Wine Cooler.,$3295,Mar 17,SUBZERO     WINE COOLER , COOLER     ,90
32,Modern Rectangular Swivel Center Table - New,$275,Mar  6,MODERN RECTANGULAR SWIVEL CENTER TABLE   NEW, TABLE LAMP    ,86
33,🔥🔥 New Center Table 🔥🔥,$1,Mar  6,   NEW CENTER TABLE   , TABLE LAMP    ,86
34,"EPIC Air Conditioning: Repairs, Servicing, AC Installs, UV Lights",$300,Mar 19,EPIC AIR CONDITIONING  REPAIRS  SERVICING  AC INSTALLS  UV LIGHTS, AIR CONDITIONER    ,86
35,"EPIC Air Conditioning: Repairs, Servicing, AC Installs, UV Lights",$300,Mar 20,EPIC AIR CONDITIONING  REPAIRS  SERVICING  AC INSTALLS  UV LIGHTS, AIR CONDITIONER    ,86
36,"EPIC Air Conditioning: Repairs, Servicing, AC Installs, UV Lights",$300,Mar 21,EPIC AIR CONDITIONING  REPAIRS  SERVICING  AC INSTALLS  UV LIGHTS, AIR CONDITIONER    ,86
37,"EPIC Air Conditioning: Repairs, Servicing, AC Installs, UV Lights",$300,Mar 22,EPIC AIR CONDITIONING  REPAIRS  SERVICING  AC INSTALLS  UV LIGHTS, AIR CONDITIONER    ,86
38,"EPIC Air Conditioning: Repairs, Servicing, AC Installs, UV Lights",$300,Mar 23,EPIC AIR CONDITIONING  REPAIRS  SERVICING  AC INSTALLS  UV LIGHTS, AIR CONDITIONER    ,86
39,"EPIC Air Conditioning: Repairs, Servicing, AC Installs, UV Lights",$300,Mar 27,EPIC AIR CONDITIONING  REPAIRS  SERVICING  AC INSTALLS  UV LIGHTS, AIR CONDITIONER    ,86
40,"EPIC Air Conditioning: Repairs, Servicing, AC Installs, UV Lights",$300,Mar 29,EPIC AIR CONDITIONING  REPAIRS  SERVICING  AC INSTALLS  UV LIGHTS, AIR CONDITIONER    ,86
41,"EPIC Air Conditioning: Repairs, Servicing, AC Installs, UV Lights",$300,Mar 31,EPIC AIR CONDITIONING  REPAIRS  SERVICING  AC INSTALLS  UV LIGHTS, AIR CONDITIONER    ,86
42,"EPIC Air Conditioning: Repairs, Servicing, AC Installs, UV Lights",$300,Apr  1,EPIC AIR CONDITIONING  REPAIRS  SERVICING  AC INSTALLS  UV LIGHTS, AIR CONDITIONER    ,86
43,"EPIC Air Conditioning: Repairs, Servicing, AC Installs, UV Lights",$300,Apr  3,EPIC AIR CONDITIONING  REPAIRS  SERVICING  AC INSTALLS  UV LIGHTS, AIR CONDITIONER    ,86
44,"EPIC Air Conditioning: Repairs, Servicing, AC Installs, UV Lights",$300,Apr  6,EPIC AIR CONDITIONING  REPAIRS  SERVICING  AC INSTALLS  UV LIGHTS, AIR CONDITIONER    ,86
45,"EPIC Air Conditioning: Repairs, Servicing, AC Installs, UV Lights",$300,Apr  7,EPIC AIR CONDITIONING  REPAIRS  SERVICING  AC INSTALLS  UV LIGHTS, AIR CONDITIONER    ,86
46,"EPIC Air Conditioning: Repairs, Servicing, AC Installs, UV Lights",$300,Apr  8,EPIC AIR CONDITIONING  REPAIRS  SERVICING  AC INSTALLS  UV LIGHTS, AIR CONDITIONER    ,86
47,"EPIC Air Conditioning: Repairs, Servicing, AC Installs, UV Lights",$300,Apr 11,EPIC AIR CONDITIONING  REPAIRS  SERVICING  AC INSTALLS  UV LIGHTS, AIR CONDITIONER    ,86
48,"EPIC Air Conditioning: Repairs, Servicing, AC Installs, UV Lights",$300,Apr 12,EPIC AIR CONDITIONING  REPAIRS  SERVICING  AC INSTALLS  UV LIGHTS, AIR CONDITIONER    ,86
49,"EPIC Air Conditioning: Repairs, Servicing, AC Installs, UV Lights",$300,Apr 14,EPIC AIR CONDITIONING  REPAIRS  SERVICING  AC INSTALLS  UV LIGHTS, AIR CONDITIONER    ,86
50,Whirlpool Gas Dryer,$350,Mar 30,WHIRLPOOL GAS DRYER, FUTON DRYER    ,86
51,"Whirlpool - 24"" Built-In Dishwasher - Stainless steel",$50,Mar 24,WHIRLPOOL       BUILT IN DISHWASHER   STAINLESS STEEL, DISHWASHER     ,90
52,Brand new KitchenAid panel ready dishwasher never used,$440,Mar 18,BRAND NEW KITCHENAID PANEL READY DISHWASHER NEVER USED, DISHWASHER     ,90
54,Kenmore stackable washer and dryer set electric,$480,Apr 13,KENMORE STACKABLE WASHER AND DRYER SET ELECTRIC, CLOTHES DRYER    ,86
55,Moen Garbage Disposal NEW,$50,Mar 31,MOEN GARBAGE DISPOSAL NEW, GARBAGE DISPOSAL UNIT   ,82
56,Amana Microwave,$15,Mar 17,AMANA MICROWAVE, MICROWAVE OVEN    ,74
58,Microwave Oven,$150,Mar  6,MICROWAVE OVEN, MICROWAVE OVEN    ,100
59,"Single door black 25 5/8"" merchandiser refrigerator",$200,Mar  6,SINGLE DOOR BLACK         MERCHANDISER REFRIGERATOR, REFRIGERATOR     ,90
60,Double Sliding Door Merchandiser Refrigerator,$300,Mar  6,DOUBLE SLIDING DOOR MERCHANDISER REFRIGERATOR, REFRIGERATOR     ,90
61,Cuisineart toaster oven,$35,Mar 17,CUISINEART TOASTER OVEN, OVEN     ,90
62,Margarita Girl Single Mini Margarita Slush Frozen Drink Machine,$499,Mar 22,MARGARITA GIRL SINGLE MINI MARGARITA SLUSH FROZEN DRINK MACHINE, SEWING MACHINE    ,86
63,Margarita Girl Double Mini Margarita Slush Frozen Drink Machine,$799,Mar 22,MARGARITA GIRL DOUBLE MINI MARGARITA SLUSH FROZEN DRINK MACHINE, SEWING MACHINE    ,86
65,Capresso EC100 Pump Espresso and Cappuccino Machine,$75,Mar  8,CAPRESSO EC    PUMP ESPRESSO AND CAPPUCCINO MACHINE, SEWING MACHINE    ,86
68,Bread maker Breadman Ultimate Plus,$0,Mar 30,BREAD MAKER BREADMAN ULTIMATE PLUS, PASTA MAKER    ,86
69,Washer,$50,Mar 28,WASHER, COMBO WASHER DRYER   ,90
70,4 ton a/c compressor and fan,$550,Apr 12,  TON A C COMPRESSOR AND FAN, ATTIC FAN    ,86
71,"33"" FARMHOUSE SINGLE BOWL STAINLESS STEEL SINK",$200,Mar 26,    FARMHOUSE SINGLE BOWL STAINLESS STEEL SINK, SEPARATE SINK SPRAY   ,86
72,"33"" FARMHOUSE SINGLE BOWL STAINLESS STEEL SINK",$200,Apr  2,    FARMHOUSE SINGLE BOWL STAINLESS STEEL SINK, SEPARATE SINK SPRAY   ,86
74,LG 7.3 Gas Dryer w/Steam Dry in Red,$480,Mar 10,LG     GAS DRYER W STEAM DRY IN RED, CLOTHES DRYER    ,86
75,Frigidaire Gallery 52 Wine Bottle Cooler in Stainless-Still in Box,$399,Mar 12,FRIGIDAIRE GALLERY    WINE BOTTLE COOLER IN STAINLESS STILL IN BOX, BOX MANGLE    ,86
76,"Frigidaire Gallery 36"" Gas Cooktop-Scratch & Dent in Stainless Steel",$640,Mar 12,FRIGIDAIRE GALLERY     GAS COOKTOP SCRATCH   DENT IN STAINLESS STEEL, GAS APPLIANCE    ,86
77,Frigidaire 1.6 OTR Microwave in Black,$190,Mar 12,FRIGIDAIRE     OTR MICROWAVE IN BLACK, MICROWAVE OVEN    ,86
78,Frigidaire Gallery 2.2 Built in Microwave in Black Stainless Steel,$290,Mar 12,FRIGIDAIRE GALLERY     BUILT IN MICROWAVE IN BLACK STAINLESS STEEL, MICROWAVE OVEN    ,86
79,Frigidaire Gallery 1.6 Built in Microwave w/drop down door in SS,$630,Mar 12,FRIGIDAIRE GALLERY     BUILT IN MICROWAVE W DROP DOWN DOOR IN SS, MICROWAVE OVEN    ,86
80,Frigidaire Gallery 1.7 OTR Microwave in Stainless Steel,$261,Mar 13,FRIGIDAIRE GALLERY     OTR MICROWAVE IN STAINLESS STEEL, MICROWAVE OVEN    ,86
81,Kenmore Elite Front Load Washer and Gas Dryer Set in White,$850,Mar 13,KENMORE ELITE FRONT LOAD WASHER AND GAS DRYER SET IN WHITE, CLOTHES DRYER    ,86
82,Frigidaire Electric Dryer w/Pedestal in White,$450,Mar 13,FRIGIDAIRE ELECTRIC DRYER W PEDESTAL IN WHITE, CLOTHES DRYER    ,86
83,LG 7.4 Gas Dryer in Silver,$450,Mar 13,LG     GAS DRYER IN SILVER, CLOTHES DRYER    ,86
84,Kenmore Gas Dryer in White,$290,Mar 13,KENMORE GAS DRYER IN WHITE, CLOTHES DRYER    ,86
85,Kenmore Gas Dryer in White,$290,Mar 13,KENMORE GAS DRYER IN WHITE, CLOTHES DRYER    ,86
86,GE Electric Range in White,$200,Mar 13,GE ELECTRIC RANGE IN WHITE, ELECTRIC COOKER    ,86
87,LG 7.3 Gas Dryer w/Steam Dry in Red,$480,Mar 13,LG     GAS DRYER W STEAM DRY IN RED, CLOTHES DRYER    ,86
88,"Whirlpool 27"" Stackable Washer and Dryer Unit in White 220V",$699,Mar 31,WHIRLPOOL     STACKABLE WASHER AND DRYER UNIT IN WHITE    V, CLOTHES DRYER    ,86
89,Kenmore Elite Electric Dryer in Black,$240,Mar 21,KENMORE ELITE ELECTRIC DRYER IN BLACK, CLOTHES DRYER    ,86
90,LG Front Washer and Gas Dryer Set W/Steam in Red,$1400,Mar 21,LG FRONT WASHER AND GAS DRYER SET W STEAM IN RED, CLOTHES DRYER    ,86
91,Whirlpool Washer and Electric Dryer Set in White,$480,Apr 14,WHIRLPOOL WASHER AND ELECTRIC DRYER SET IN WHITE, CLOTHES DRYER    ,86
93,Toastmaster 5 cup coffee maker new in box,$12,Feb 29,TOASTMASTER   CUP COFFEE MAKER NEW IN BOX, BOX FAN    ,86
94,Toastmaster two slice toaster new in box,$15,Feb 29,TOASTMASTER TWO SLICE TOASTER NEW IN BOX, TOASTER     ,90
95,Toastmaster personal blender new in box,$12,Feb 29,TOASTMASTER PERSONAL BLENDER NEW IN BOX, BLENDER     ,90
98,Bella 5-Speed Digital Juice Juicer Blender Extractor 1000 watt STEEL,$60,Apr 14,BELLA   SPEED DIGITAL JUICE JUICER BLENDER EXTRACTOR      WATT STEEL,COLD PRESSED JUICER   ,86
99,NESCO Food and Meat Jerky PRO Dehydrator Snack master Oven SAVE MONEY,$35,Apr 14,NESCO FOOD AND MEAT JERKY PRO DEHYDRATOR SNACK MASTER OVEN SAVE MONEY, CONVECTION OVEN    ,86
100,"LOWEST PRICE! SODA STREAM maker , SAVE MONEY make your own soda !",$20,Apr 13,LOWEST PRICE  SODA STREAM MAKER   SAVE MONEY MAKE YOUR OWN SODA  , PASTA MAKER    ,86
101,DeLONGHI Coffee Maker 12 CUP STAINLESS STEEL DCF6212TTC 1000 WATT,$60,Apr 13,DELONGHI COFFEE MAKER    CUP STAINLESS STEEL DCF    TTC      WATT, COFFEE GRINDER    ,86
103,Pickup today! Samsung washer/dryer,$900,Mar 17,PICKUP TODAY  SAMSUNG WASHER DRYER, CLOTHES DRYER    ,86
104,Small Pepsi vending machine,$350,Mar 19,SMALL PEPSI VENDING MACHINE, SEWING MACHINE    ,86
105,Large Pepsi vending machine,$450,Mar 19,LARGE PEPSI VENDING MACHINE, SEWING MACHINE    ,86
107,Almost new washer & dryer,$0,Mar 18,ALMOST NEW WASHER   DRYER,WASHER   DRYER,90
108,Cooks Coffee Maker,$10,Mar 25,COOKS COFFEE MAKER, PASTA MAKER    ,86
110,Amway Water Purifier,$200,Apr  9,AMWAY WATER PURIFIER, AIR PURIFIER    ,86
111,Air Fryer,$20,Apr 14,AIR FRYER, AIR CONDITIONER    ,86
112,Coffee Maker,$35,Apr 14,COFFEE MAKER, COFFEEMAKER     ,96
113,Brand New Breville Mini smart Oven,$150,Apr 13,BRAND NEW BREVILLE MINI SMART OVEN, CONVECTION OVEN    ,86
114,Brand New Breville Smart Oven Pro,$250,Apr 13,BRAND NEW BREVILLE SMART OVEN PRO, CONVECTION OVEN    ,86
115,Haul away appliances for sale,$25,Apr 14,HAUL AWAY APPLIANCES FOR SALE, GAS APPLIANCE    ,76
116,21.9 Cubic Whirlpool Bottom Freezer Fridge,$750,Apr  9,     CUBIC WHIRLPOOL BOTTOM FREEZER FRIDGE, FREEZER     ,90
117,"36"" Kitchen Aid 5 burner gas cooktop",$1500,Mar  1,    KITCHEN AID   BURNER GAS COOKTOP, GAS APPLIANCE    ,86
118,Paper shredder,$50,Mar  4,PAPER SHREDDER, PAPER SHREDDER    ,100
1,Tool Box,$10,Apr 12,TOOL BOX, GO TO BED MATCHBOX    ,74
2,LG Inverter Direct Drive Washer & Dryer,$900,Apr  6,LG INVERTER DIRECT DRIVE WASHER   DRYER,WASHER   DRYER,90
3,Kenmoreclear Kenmore Refrigerator Water Filter,$18,Mar  3,KENMORECLEAR KENMORE REFRIGERATOR WATER FILTER, REFRIGERATOR     ,90
4,Motion activated sensor trash can,$90,Mar  8,MOTION ACTIVATED SENSOR TRASH CAN, CAN OPENER    ,86
7,Refrigerator.  Stainless steel.   3 door.   Like new Moving sale,$759,Apr 12,REFRIGERATOR   STAINLESS STEEL      DOOR    LIKE NEW MOVING SALE, REFRIGERATOR     ,90
8,Refrigerator. Stainless steel.   3. Door    Very cold   Like new,$759,Apr 12,REFRIGERATOR  STAINLESS STEEL       DOOR    VERY COLD   LIKE NEW, REFRIGERATOR     ,90
10,Electric Dryer,$150,Apr 12,ELECTRIC DRYER, ELECTRIC WATER BOILER   ,86
11,washer/dryer  whirlpool    Both electric. Great set,$399,Apr 13,WASHER DRYER  WHIRLPOOL    BOTH ELECTRIC  GREAT SET, CLOTHES DRYER    ,86
12,Washer and dryer.       Both electric.   Large size,$399,Apr 13,WASHER AND DRYER        BOTH ELECTRIC    LARGE SIZE, CLOTHES DRYER    ,86
13,Washer dryer.  Both electric.  Whirlpool.   Moving,$399,Apr 13,WASHER DRYER   BOTH ELECTRIC   WHIRLPOOL    MOVING, CLOTHES DRYER    ,86
14,Microwave stainless steel. Heavy duty extra large size. Like new movin,$99,Apr 13,MICROWAVE STAINLESS STEEL  HEAVY DUTY EXTRA LARGE SIZE  LIKE NEW MOVIN, MICROWAVE OVEN    ,86
15,Washer/dryer.  Both electric heavy duty.  Extra large - moving,$399,Apr 13,WASHER DRYER   BOTH ELECTRIC HEAVY DUTY   EXTRA LARGE   MOVING, CLOTHES DRYER    ,86
16,Washer and dryer    Both electric     Heavy duty- moving,$399,Apr 14,WASHER AND DRYER    BOTH ELECTRIC     HEAVY DUTY  MOVING, CLOTHES DRYER    ,86
18,36” GE Refrigerator,$575,Mar 16,    GE REFRIGERATOR, REFRIGERATOR     ,95
19,30” Samsung Stove-Electric,$425,Mar 21,    SAMSUNG STOVE ELECTRIC, ELECTRIC RAZOR    ,86
20,30” GE Stove-Electric,$425,Mar 19,    GE STOVE ELECTRIC, OVEN     ,74
21,18 1/2” Frigidaire Compact Refrigerator,$150,Mar 27,        FRIGIDAIRE COMPACT REFRIGERATOR, REFRIGERATOR     ,90
22,27” GE Dryer-Gas,$250,Apr  3,    GE DRYER GAS, COMBO WASHER DRYER   ,86
23,30” GE Stove-Electric,$325,Apr  5,    GE STOVE ELECTRIC, OVEN     ,74
24,33” Whirlpool Refrigerator,$650,Apr  5,    WHIRLPOOL REFRIGERATOR, REFRIGERATOR     ,90
25,24” GE Adora Dishwasher,$495,Apr 10,    GE ADORA DISHWASHER, DISHWASHER     ,90
26,30” GE Stove-Gas,$450,Apr 14,    GE STOVE GAS, OVEN     ,74
27,30” Frigidaire Stove-Electric,$450,Apr 14,    FRIGIDAIRE STOVE ELECTRIC, ELECTRIC COOKER    ,86
28,24” Bosch 800 Series Dishwasher,$975,Apr 14,    BOSCH     SERIES DISHWASHER, DISHWASHER     ,90
29,Brand New Burton 12V Hot Drinks To Go,$25,Mar 21,BRAND NEW BURTON   V HOT DRINKS TO GO, GO TO BED MATCHBOX    ,86
30,SINGER 300U DOUBLE NEEDLE CHAINSTITCH MACHINE W/ RACING PULLER,$5000,Apr 13,SINGER    U DOUBLE NEEDLE CHAINSTITCH MACHINE W  RACING PULLER, SEWING MACHINE    ,86
31,Brand new kenmore washer and dryer set,$500,Apr  8,BRAND NEW KENMORE WASHER AND DRYER SET, CLOTHES DRYER    ,86
32,"New Maytag MFI2269FRB 33"" French Door Refrigerator - CASH ONLY",$1000,Apr  9,NEW MAYTAG MFI    FRB     FRENCH DOOR REFRIGERATOR   CASH ONLY, REFRIGERATOR     ,90
33,Electric Fireplace insert w-Heater,$100,Apr 14,ELECTRIC FIREPLACE INSERT W HEATER, ELECTRIC COOKER    ,86
34,Oreck XL Gold Model U7050ECB4 Vacuum Cleaner,$40,Mar 31,ORECK XL GOLD MODEL U    ECB  VACUUM CLEANER, VACUUM CLEANER    ,90
35,Restaurant GRADE THREE COMPARTMENT SINK WITH FAUCE,$705,Mar 16,RESTAURANT GRADE THREE COMPARTMENT SINK WITH FAUCE, SEPARATE SINK SPRAY   ,86
36,GE Electric Dryer,$150,Mar 21,GE ELECTRIC DRYER, FUTON DRYER    ,86
38,Like new Samsung washer and electric dryer steam option,$950,Apr 13,LIKE NEW SAMSUNG WASHER AND ELECTRIC DRYER STEAM OPTION, CLOTHES DRYER    ,86
39,Viking D3 Built-In Brand New Microwave,$400,Mar 15,VIKING D  BUILT IN BRAND NEW MICROWAVE, MICROWAVE OVEN    ,86
40,Microwave Panasonic,$80,Mar 11,MICROWAVE PANASONIC, MICROWAVE OVEN    ,74
41,Kenmore progressive vacuum cleaner Model 116,$80,Mar 15,KENMORE PROGRESSIVE VACUUM CLEANER MODEL    , VACUUM CLEANER    ,90
42,Kenmore Elite Microwave,$100,Mar 15,KENMORE ELITE MICROWAVE, MICROWAVE OVEN    ,86
43,"LG LSXS26366D 36"" French Door Refrigerator 26.1 Cu. Ft. Black Stainles",$875,Mar 19,LG LSXS     D     FRENCH DOOR REFRIGERATOR      CU  FT  BLACK STAINLES, REFRIGERATOR     ,90
44,Fandelier Outdoor Ceiling Fan with Light,$207,Mar  1,FANDELIER OUTDOOR CEILING FAN WITH LIGHT, CEILING FAN    ,90
45,Ceiling fan price started at $72,$72,Mar  7,CEILING FAN PRICE STARTED AT    , CEILING FAN    ,90
46,Ninja Coffee Bar with Glass Carafe,$125,Mar 13,NINJA COFFEE BAR WITH GLASS CARAFE, COFFEE GRINDER    ,86
47,"InSinkErator
Badger 900 3/4 HP Continuous Feed Garbage Disposal",$125,Mar 22,INSINKERATOR BADGER         HP CONTINUOUS FEED GARBAGE DISPOSAL, GARBAGE DISPOSAL UNIT   ,86
48,"New Ceiling fans just arrived, price is stared at $37",$37,Mar  7,NEW CEILING FANS JUST ARRIVED  PRICE IS STARED AT    , CEILING FAN    ,90
49,Ceiling Fan With Light,$89,Mar 26,CEILING FAN WITH LIGHT, CEILING FAN    ,90
50,Ceiling Fan With Light Price Is Started At $39,$39,Apr  2,CEILING FAN WITH LIGHT PRICE IS STARTED AT    , CEILING FAN    ,90
51,Outdoor Fan From $109,$109,Mar 28,OUTDOOR FAN FROM     , ATTIC FAN    ,86
52,Ceiling Fan With Light Price Is Started At $49,$49,Mar 28,CEILING FAN WITH LIGHT PRICE IS STARTED AT    , CEILING FAN    ,90
53,Fridge,$500,Mar  2,FRIDGE, KIMCHI REFRIGERATOR    ,75
54,Kenmore Heavy Duty Electric Dryer dismantled and deep cleaned,$150,Apr 14,KENMORE HEAVY DUTY ELECTRIC DRYER DISMANTLED AND DEEP CLEANED, CLOTHES DRYER    ,86
55,Kenmore Heavy Duty Washer,$225,Apr 11,KENMORE HEAVY DUTY WASHER,WASHER   DRYER,86
56,23 in. LED Indoor/Outdoor Ceiling Fan with Light and Remote Control,$183,Mar 13,   IN  LED INDOOR OUTDOOR CEILING FAN WITH LIGHT AND REMOTE CONTROL, CEILING FAN    ,90
57,Food bowl and water bowl for reptiles. Little tree and rock “home” aswell,$30,Apr 10,FOOD BOWL AND WATER BOWL FOR REPTILES  LITTLE TREE AND ROCK  HOME  ASWELL, ELECTRIC WATER BOILER   ,86
58,60 in. LED Brushed Nickel Ceiling Fan with Light Kit and Remote Color,$183,Mar 13,   IN  LED BRUSHED NICKEL CEILING FAN WITH LIGHT KIT AND REMOTE COLOR, CEILING FAN    ,90
59,Over Oven Fan,$20,Apr  5,OVER OVEN FAN, OVEN     ,90
60,Stainless Steal Microwave,$20,Apr  5,STAINLESS STEAL MICROWAVE, MICROWAVE OVEN    ,86
62,Blue ripstick. Fast bearings and good grip.,$25,Apr 10,BLUE RIPSTICK  FAST BEARINGS AND GOOD GRIP , HEARING AID    ,74
63,Vac Master Sous Vide Immersion Circulator,$70,Apr 13,VAC MASTER SOUS VIDE IMMERSION CIRCULATOR, CALCULATOR     ,72
64,LEM Grinder/stuffer,$35,Apr 13,LEM GRINDER STUFFER, MEAT GRINDER    ,86
65,Thermador Dishwasher DWHD 410JFP/66,$600,Mar 31,THERMADOR DISHWASHER DWHD    JFP   , DISHWASHER     ,90
69,Stainless Steel Island Island Hood Range Hood Exhaust,$275,Mar 11,STAINLESS STEEL ISLAND ISLAND HOOD RANGE HOOD EXHAUST, EXHAUST HOOD    ,86
70,Maytag Front Load Steam set WARRANTY & SAMEDAY DELIVERY👍,$1,Apr  2,MAYTAG FRONT LOAD STEAM SET WARRANTY   SAMEDAY DELIVERY , KARAOKE SET    ,86
71,Large snack vending machine,$650,Mar 19,LARGE SNACK VENDING MACHINE, SEWING MACHINE    ,86
72,Whirlpool Whispure 510 HEPA Air Purifiers for sale,$75,Mar 21,WHIRLPOOL WHISPURE     HEPA AIR PURIFIERS FOR SALE, AIR PURIFIER    ,90
73,Dishwasher,$50,Apr  3,DISHWASHER, DISHWASHER     ,100
74,Samsung Gas Dryer,$350,Apr  4,SAMSUNG GAS DRYER, FUTON DRYER    ,86
75,Refrigerador dometic RV,$400,Mar 29,REFRIGERADOR DOMETIC RV, REFRIGERATOR     ,83
76,Refrigerator cheap with warranty,$4321,Mar 18,REFRIGERATOR CHEAP WITH WARRANTY, REFRIGERATOR     ,90
77,Small refrigerator 33x69 G,$400,Apr  8,SMALL REFRIGERATOR   X   G, REFRIGERATOR     ,90
78,Glass stove stainlles steel ge with warranty,$250,Apr 12,GLASS STOVE STAINLLES STEEL GE WITH WARRANTY, KITCHEN STOVE ,86
79,Gas stove hoy point with warranty,$250,Apr 12,GAS STOVE HOY POINT WITH WARRANTY, GAS APPLIANCE    ,86
80,Dishwasher,$280,Mar  7,DISHWASHER, DISHWASHER     ,100
81,Security camera installation,$400,Mar 20,SECURITY CAMERA INSTALLATION, DIGITAL CAMERA    ,86
82,Kohler Cast Iron Sink,$150,Mar 13,KOHLER CAST IRON SINK, SINK     ,90
83,Refrigerator,$500,Feb 29,REFRIGERATOR, REFRIGERATOR     ,100
84,Microwave oven,$150,Mar  2,MICROWAVE OVEN, MICROWAVE OVEN    ,100
86,JennAir Oven/ Never Used / Electric,$275,Mar 11,JENNAIR OVEN  NEVER USED   ELECTRIC, CONVECTION OVEN    ,86
